OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,SalesTerritoryKey,OrderQuantity
01/01/2015,21/09/2001,SO45080,332,14657,1,1
01/01/2015,05/12/2001,SO45079,312,29255,4,1
01/01/2015,29/10/2001,SO45082,350,11455,9,1
01/01/2015,16/11/2001,SO45081,338,26782,6,1
02/01/2015,15/12/2001,SO45083,312,14947,10,1
02/01/2015,12/10/2001,SO45084,310,29143,4,1
02/01/2015,18/12/2001,SO45086,314,18747,9,1
02/01/2015,09/10/2001,SO45085,312,18746,9,1
03/01/2015,03/10/2001,SO45093,312,18906,9,1
03/01/2015,29/09/2001,SO45090,310,29170,4,1
03/01/2015,11/12/2001,SO45088,345,11398,10,1
03/01/2015,24/10/2001,SO45092,313,18899,9,1
03/01/2015,16/12/2001,SO45089,351,25977,4,1
03/01/2015,26/10/2001,SO45091,314,18909,9,1
03/01/2015,11/09/2001,SO45087,350,11388,10,1
03/01/2015,11/09/2001,SO45094,310,22785,6,1
04/01/2015,30/10/2001,SO45096,312,12483,7,1
04/01/2015,30/10/2001,SO45097,313,29151,4,1
04/01/2015,15/09/2001,SO45098,310,29167,1,1
04/01/2015,07/12/2001,SO45095,344,11394,10,1
04/01/2015,20/12/2001,SO45099,312,29174,1,1
05/01/2015,19/09/2001,SO45101,313,22748,6,1
05/01/2015,21/11/2001,SO45100,326,19428,8,1
05/01/2015,24/11/2001,SO45102,310,29274,4,1
06/01/2015,17/10/2001,SO45104,310,29142,4,1
06/01/2015,01/10/2001,SO45108,310,22975,6,1
06/01/2015,21/11/2001,SO45105,312,22765,6,1
06/01/2015,24/09/2001,SO45103,310,29140,1,1
06/01/2015,12/11/2001,SO45106,348,19987,6,1
06/01/2015,14/12/2001,SO45107,312,29275,4,1
07/01/2015,05/11/2001,SO45109,311,14937,10,1
07/01/2015,17/09/2001,SO45112,324,20558,10,1
07/01/2015,09/11/2001,SO45111,326,25713,9,1
07/01/2015,05/12/2001,SO45110,311,18710,9,1
08/01/2015,14/12/2001,SO45119,314,18740,9,1
08/01/2015,21/11/2001,SO45117,342,14727,1,1
08/01/2015,24/11/2001,SO45116,311,29204,1,1
08/01/2015,01/11/2001,SO45114,310,29146,1,1
08/01/2015,20/09/2001,SO45115,348,25984,4,1
08/01/2015,29/10/2001,SO45118,314,18722,9,1
08/01/2015,11/11/2001,SO45113,313,29141,4,1
08/01/2015,25/11/2001,SO45120,344,11751,9,1
09/01/2015,22/11/2001,SO45124,313,18725,9,1
09/01/2015,23/12/2001,SO45122,314,29236,4,1
09/01/2015,12/12/2001,SO45123,311,22971,6,1
09/01/2015,24/09/2001,SO45121,310,29169,1,1
10/01/2015,20/11/2001,SO45129,350,11759,9,1
10/01/2015,12/12/2001,SO45127,313,29158,1,1
10/01/2015,07/10/2001,SO45128,310,18726,9,1
10/01/2015,26/12/2001,SO45126,311,12480,7,1
11/01/2015,22/09/2001,SO45136,312,19084,9,1
11/01/2015,30/11/2001,SO45130,313,14975,10,1
11/01/2015,13/12/2001,SO45134,314,22895,6,1
11/01/2015,13/11/2001,SO45138,349,11452,9,1
11/01/2015,07/12/2001,SO45132,350,25985,4,1
11/01/2015,10/10/2001,SO45137,310,18735,9,1
11/01/2015,26/09/2001,SO45133,314,29163,1,1
11/01/2015,14/09/2001,SO45131,344,25979,1,1
11/01/2015,03/12/2001,SO45135,310,29264,4,1
12/01/2015,25/12/2001,SO45141,312,29222,4,1
12/01/2015,25/12/2001,SO45143,310,29278,4,1
12/01/2015,26/12/2001,SO45142,311,22901,6,1
12/01/2015,28/11/2001,SO45145,314,18716,9,1
12/01/2015,25/11/2001,SO45144,311,19093,9,1
12/01/2015,17/11/2001,SO45140,312,12485,7,1
12/01/2015,25/09/2001,SO45139,314,12468,7,1
13/01/2015,10/12/2001,SO45148,342,14656,1,1
13/01/2015,28/11/2001,SO45147,312,29166,4,1
13/01/2015,25/09/2001,SO45146,310,14950,10,1
14/01/2015,08/12/2001,SO45149,314,14941,10,1
14/01/2015,24/12/2001,SO45154,313,18767,9,1
14/01/2015,27/11/2001,SO45151,314,29202,1,1
14/01/2015,18/09/2001,SO45150,346,25980,1,1
14/01/2015,30/12/2001,SO45157,344,11750,9,1
14/01/2015,13/10/2001,SO45156,344,11465,9,1
14/01/2015,05/11/2001,SO45155,312,18900,9,1
14/01/2015,08/12/2001,SO45153,310,19089,9,1
14/01/2015,25/12/2001,SO45152,310,29276,1,1
15/01/2015,19/12/2001,SO45162,312,18721,9,1
